date,Production(KWh),Consumption(KWh)
2023-09-29 0:00:00,0.0,6.8
2023-09-29 1:00:00,0.0,5.3
2023-09-29 2:00:00,0.0,6.6
2023-09-29 3:00:00,0.0,6.9
2023-09-29 4:00:00,0.0,7.8
2023-09-29 5:00:00,0.0,6.9
2023-09-29 6:00:00,0.0,5.7
2023-09-29 7:00:00,0.0,6.9
2023-09-29 8:00:00,0.0,6.7
2023-09-29 9:00:00,0.0,6.7
2023-09-29 10:00:00,7.8,6.7
2023-09-29 11:00:00,15.3,6.7
2023-09-29 12:00:00,22.7,6.7
2023-09-29 13:00:00,14.2,6.7
2023-09-29 14:00:00,38.2,7.3
2023-09-29 15:00:00,32.9,8.7
2023-09-29 16:00:00,22.3,9.2
2023-09-29 17:00:00,7.3,9.3
2023-09-29 18:00:00,0.5,10.7
2023-09-29 19:00:00,0.0,8.9
2023-09-29 20:00:00,0.0,7.6
2023-09-29 21:00:00,0.0,7.0
2023-09-29 22:00:00,0.0,7.2
2023-09-29 23:00:00,0.0,7.1
